T8 Room_Hum,T8 Room_Temp,T8 Dew_Temp,T8 Duct_Hum,T8 AHU Status,T8 OHU Status,result_name
49.06385803,23.03959656,11.93713284,54.7261467,1,1,T8 Air condition system normal
49.06385803,23.03959656,11.93713284,54.7261467,1,1,T8 Air condition system normal
48.41230011,23.54314423,12.00427246,54.70173264,1,1,T8 Air condition system normal
48.41230011,23.54314423,12.00427246,54.70173264,1,1,T8 Air condition system normal
47.50591278,23.50347137,11.96459866,54.61322784,1,1,T8 Air condition system normal
50.85984421,23.4363308,11.95696926,89.11082458,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.85984421,23.4363308,11.95696926,90.74658966,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.85984421,23.4363308,11.95696926,90.74658966,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.85984421,23.4363308,11.95696926,90.74658966,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.85984421,23.4363308,11.95696926,90.74658966,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
50.43412018,22.63828468,12.07141209,90.74964142,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
49.15846634,23.03501892,11.99664307,90.75575256,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
48.85633469,23.20134354,12.03936863,90.76185608,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
48.85633469,23.20134354,12.03936863,90.76185608,1,1,"T8 Air condition system warning ""Duct_Hum too high"""
